epsilon  0.25 16 100
Algo  0.6856030206010719
Algo  0.49884067786577774
Algo  0.7846422244566938
Algo  0.7860810867149737
Ward  0.6757117118889653
Ward  0.45704636976265567
Ward  0.8180054857759733
Ward  0.7965405765387856
Average  0.7284149776595633
Average  0.03546928242887183
Average  0.8076554234276946
Average  0.04116080742542969
Single  0.7423519795432905
Single  0.028019322114878526
Single  0.7586138362895639
Single  0.039265599206412434
